start_id,end_id,relationship_type,severity,confidence_level,effectiveness,risk_percentage
230690007,62315008,HAS_SYMPTOM,mild,,,,
230690007,40739000,HAS_SYMPTOM,moderate,,,,
230690007,271656006,HAS_SYMPTOM,mild,,,,
230690007,162059005,HAS_SYMPTOM,mild,,,,
230690007,102705002,HAS_SYMPTOM,mild,,,,
230690007,276301004,DIAGNOSED_BY,,80,,,
230690007,308646004,DIAGNOSED_BY,,75,,,
230690007,324121000000109,DIAGNOSED_BY,,90,,,
230690007,10001004,TREATED_BY,,,high,,
230690007,7365003,TREATED_BY,,,moderate,,
230690007,238903001,RISK_FACTOR_FOR,,,,moderate,
230690007,441856005,RISK_FACTOR_FOR,,,,moderate,
709410001,84757009,HAS_SYMPTOM,moderate,,,,
709410001,62315008,HAS_SYMPTOM,moderate,,,,
709410001,423874009,HAS_SYMPTOM,moderate,,,,
709410001,276301004,DIAGNOSED_BY,,85,,,
709410001,706177006,DIAGNOSED_BY,,90,,,
709410001,73347006,TREATED_BY,,,high,,
709410001,117681000119102,TREATED_BY,,,moderate,,
427095000,427095000,HAS_SYMPTOM,severe,,,,
427095000,279099007,HAS_SYMPTOM,moderate,,,,
427095000,84757009,HAS_SYMPTOM,severe,,,,
427095000,26158009,DIAGNOSED_BY,,95,,,
427095000,706177006,DIAGNOSED_BY,,90,,,
427095000,324121000000109,DIAGNOSED_BY,,92,,,
427095000,257858004,ACUTE_CARE_ASSESSMENT,,98,,,
427095000,7365003,TREATED_BY,,,high,,
427095000,117681000119102,TREATED_BY,,,moderate,,
195967001,267033000,HAS_SYMPTOM,moderate,,,,
195967001,84757009,HAS_SYMPTOM,moderate,,,,
195967001,423146000,HAS_SYMPTOM,mild,,,,
195967001,706177006,DIAGNOSED_BY,,88,,,
195967001,289693003,DIAGNOSED_BY,,75,,,
195967001,423146000,EVALUATED_BY,,80,,,
195967001,40739000,EVALUATED_BY,,70,,,
195967001,117681000119102,TREATED_BY,,,high,,
195967001,386864001,TREATED_BY,,,moderate,,
40055000,62315008,HAS_SYMPTOM,moderate,,,,
40055000,279099007,HAS_SYMPTOM,moderate,,,,
40055000,162362007,HAS_SYMPTOM,mild,,,,
40055000,324121000000109,DIAGNOSED_BY,,92,,,
40055000,289693003,DIAGNOSED_BY,,80,,,
40055000,40055000,RISK_FACTOR_FOR,,,,high,
40055000,230690007,RISK_FACTOR_FOR,,,,moderate,